Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
62.3,111.1,,102.3,,,,,,5.3,33.4,,,,,11.7,5.4,,3,14.4
51.9,92,,173.2,,,,,,3.5,18.8,,,,,13.1,25.5,,3,16.4
61.3,97.3,,76.2,,,,,,5.8,18,,,,,13.6,11.8,,3,14.5
67.8,33.4,,81.5,,,,,,12.9,34.8,,,,,13.4,14.7,,3,29.9
65.9,104.2,,54.6,,,,,,7.2,416.7,,,,,14.6,22.7,,3,24.4
49.4,87.2,,125.7,,,,,,8.8,357.8,,,,,12,16.7,,3,21.6
53.4,35.1,,123,,,,,,10.2,265.2,,,,,6.4,16,,7.6,20.2
46.9,29.3,,93.9,,,,,,12.9,123.6,,,,,3.7,14,,5.8,32.7
51.7,92.1,,,,,,,,11.4,137.2,,,,,30,13.2,,6.2,26.3
45.8,112.4,,,,,,,,5.6,132.7,,,,,16.3,10.6,,8,26.4
50.3,24.9,,,,,,,,4.2,131.4,,,,,19.4,11,,3.5,28.4
586.3,31,,,,,,,,63.6,103.4,,,,,29.3,31,,1.6,22.1
692,29.7,,,,,,,,85.3,125.7,,,,,30.7,28.3,,10.8,25
435.4,97.8,,,,,,,,12.4,,,,,,23.2,20.2,,11.1,30.1
466.6,39.1,,,,,,,,12,,,,,,5.6,21,,4.6,21.4
54,27.5,,,,,,,,3.7,,,,,,12.1,15.6,,8.7,10.5
52,31.8,,,,,,,,11.6,,,,,,7.5,23.7,,10.4,20.6
53.5,31.5,,,,,,,,14.3,,,,,,27.4,16.8,,9.6,20.1
56.2,22.5,,,,,,,,12.6,,,,,,12.2,22.3,,11.6,22.4
44.3,30.4,,,,,,,,24.2,,,,,,12.9,6.4,,11.9,19
71.4,23.5,,,,,,,,22.4,,,,,,5.9,8.5,,9.3,22
72.5,31,,,,,,,,22,,,,,,14.3,10.3,,7.6,22
68,24.8,,,,,,,,21.4,,,,,,31.5,7.8,,10.4,13.5
60.4,32.8,,,,,,,,19,,,,,,18.2,34.5,,3.3,18.1
74.6,31.3,,,,,,,,14.4,,,,,,15.2,22.3,,12.8,16.4
54.8,58.4,,,,,,,,24,,,,,,16.7,11.5,,10.3,13.2
68.2,78.1,,,,,,,,79.1,,,,,,12,13.1,,8.4,19.7
56.8,55.6,,,,,,,,23.5,,,,,,3.3,19.3,,14.1,14.9
44,33.5,,,,,,,,20,,,,,,16.1,16.8,,9.2,41.6
37.8,28.6,,,,,,,,65,,,,,,13.1,16.2,,13.5,31.1
59.3,26.4,,,,,,,,25.2,,,,,,16.6,26.4,,10.6,23.5
53.3,30,,,,,,,,24,,,,,,16.8,10.9,,8.7,21.6
