Sparus aurata,spondyliosoma cantharus,Dicentrarchus punctatus,Halobatrachus didactylus,Anguilla anguilla,Dentex dentex,Belone belone,Dicentrarchus labrax,Solea senegalensis,Diplodus annullaris,Diplodus vulgaris,Atherina cf. boyeri,Mullus barbatus,Diplodus sargus,Sarpa salpa,labrus sp,gobidae sp,Engraulis encrasicholus,Sardina pilchardus,Chelon labrosus
Dourada ,Choupa,baila,toadfish,Eel,Pargo,garfish,Seabass,sole,Mucharra,Safia,silverside,red mullet,Sargo,Salema,wrasse,goby,anchovy,sardine,grey mullet
,37.1,,,,,,,,,,,,,,,,,15.06,
,41,,,,,,,,,,,,,,,,,15.06,
,32.5,,,,,,,,,,,,,,,,,15.06,
,57.4,,,,,,,,,,,,,,,,,15.06,
,63.3,,,,,,,,,,,,,,,,,15.06,
,46.2,,,,,,,,,,,,,,,,,15.06,
,117.2,,,,,,,,,,,,,,,,,15.06,
,54.2,,,,,,,,,,,,,,,,,15.06,
,54.1,,,,,,,,,,,,,,,,,15.06,
,42.7,,,,,,,,,,,,,,,,,15.06,
,126.7,,,,,,,,,,,,,,,,,15.06,
,118.2,,,,,,,,,,,,,,,,,15.06,
,98.2,,,,,,,,,,,,,,,,,15.06,
,110.3,,,,,,,,,,,,,,,,,15.06,
,125.1,,,,,,,,,,,,,,,,,15.06,
,103.6,,,,,,,,,,,,,,,,,15.06,
,138.2,,,,,,,,,,,,,,,,,15.06,
,42.3,,,,,,,,,,,,,,,,,15.06,
,147.2,,,,,,,,,,,,,,,,,15.06,
,53.2,,,,,,,,,,,,,,,,,15.06,
,54.1,,,,,,,,,,,,,,,,,15.06,
,141.7,,,,,,,,,,,,,,,,,15.06,
,156.5,,,,,,,,,,,,,,,,,15.06,
,47.3,,,,,,,,,,,,,,,,,15.06,
,101.1,,,,,,,,,,,,,,,,,15.06,
,123.3,,,,,,,,,,,,,,,,,15.06,
,55,,,,,,,,,,,,,,,,,15.06,
,123.1,,,,,,,,,,,,,,,,,15.06,
,41.1,,,,,,,,,,,,,,,,,15.06,
,27,,,,,,,,,,,,,,,,,15.06,
,34.7,,,,,,,,,,,,,,,,,15.06,
,30.4,,,,,,,,,,,,,,,,,15.06,
,37.6,,,,,,,,,,,,,,,,,15.06,
,40.4,,,,,,,,,,,,,,,,,15.06,
,42.7,,,,,,,,,,,,,,,,,15.06,
,35.2,,,,,,,,,,,,,,,,,15.06,
,29,,,,,,,,,,,,,,,,,15.06,
,31.7,,,,,,,,,,,,,,,,,15.06,
,89,,,,,,,,,,,,,,,,,15.06,
,28.9,,,,,,,,,,,,,,,,,15.06,
,37.6,,,,,,,,,,,,,,,,,15.06,
,42.6,,,,,,,,,,,,,,,,,15.06,
,111.4,,,,,,,,,,,,,,,,,15.06,
,34.2,,,,,,,,,,,,,,,,,15.06,
,40.5,,,,,,,,,,,,,,,,,15.06,
,124.5,,,,,,,,,,,,,,,,,15.06,
,148.2,,,,,,,,,,,,,,,,,15.06,
,93.8,,,,,,,,,,,,,,,,,15.06,
,43.5,,,,,,,,,,,,,,,,,15.06,
,43,,,,,,,,,,,,,,,,,15.06,
,33,,,,,,,,,,,,,,,,,15.06,
,38,,,,,,,,,,,,,,,,,15.06,
,40.5,,,,,,,,,,,,,,,,,15.06,
,35.4,,,,,,,,,,,,,,,,,15.06,
,29.3,,,,,,,,,,,,,,,,,15.06,
,36.9,,,,,,,,,,,,,,,,,15.06,
,31.8,,,,,,,,,,,,,,,,,15.06,
,34,,,,,,,,,,,,,,,,,15.06,
,43.2,,,,,,,,,,,,,,,,,15.06,
,48,,,,,,,,,,,,,,,,,15.06,
,58.6,,,,,,,,,,,,,,,,,15.06,
,50.1,,,,,,,,,,,,,,,,,15.06,
,44.8,,,,,,,,,,,,,,,,,15.06,
,58.1,,,,,,,,,,,,,,,,,15.06,
,43.7,,,,,,,,,,,,,,,,,15.06,
,39,,,,,,,,,,,,,,,,,15.06,
,43.1,,,,,,,,,,,,,,,,,15.06,
,129.3,,,,,,,,,,,,,,,,,15.06,
,110.6,,,,,,,,,,,,,,,,,15.06,
,6.3,,,,,,,,,,,,,,,,,15.06,
,7.8,,,,,,,,,,,,,,,,,15.06,
,7.4,,,,,,,,,,,,,,,,,15.06,
,8.3,,,,,,,,,,,,,,,,,15.06,
,7.8,,,,,,,,,,,,,,,,,15.06,
,8.1,,,,,,,,,,,,,,,,,15.06,
,34.8,,,,,,,,,,,,,,,,,15.06,
,8,,,,,,,,,,,,,,,,,15.06,
,6.7,,,,,,,,,,,,,,,,,15.06,
,9.5,,,,,,,,,,,,,,,,,15.06,
,9.9,,,,,,,,,,,,,,,,,15.06,
,9.9,,,,,,,,,,,,,,,,,15.06,
,10.8,,,,,,,,,,,,,,,,,15.06,
,6.2,,,,,,,,,,,,,,,,,15.06,
,9.8,,,,,,,,,,,,,,,,,15.06,
,7.5,,,,,,,,,,,,,,,,,15.06,
,9.3,,,,,,,,,,,,,,,,,15.06,
,8.3,,,,,,,,,,,,,,,,,15.06,
,8.2,,,,,,,,,,,,,,,,,15.06,
,8.1,,,,,,,,,,,,,,,,,15.06,
,10.2,,,,,,,,,,,,,,,,,15.06,
,7.9,,,,,,,,,,,,,,,,,15.06,
,7.8,,,,,,,,,,,,,,,,,15.06,
,7.6,,,,,,,,,,,,,,,,,15.06,
,6.4,,,,,,,,,,,,,,,,,15.06,
,10,,,,,,,,,,,,,,,,,15.06,
,8.9,,,,,,,,,,,,,,,,,15.06,
,7.8,,,,,,,,,,,,,,,,,15.06,
,6.7,,,,,,,,,,,,,,,,,15.06,
,8.4,,,,,,,,,,,,,,,,,15.06,
,5.8,,,,,,,,,,,,,,,,,15.06,
,7.8,,,,,,,,,,,,,,,,,15.06,
,6.5,,,,,,,,,,,,,,,,,15.06,
,6.7,,,,,,,,,,,,,,,,,15.06,
,3.9,,,,,,,,,,,,,,,,,15.06,
,7.3,,,,,,,,,,,,,,,,,15.06,
,9,,,,,,,,,,,,,,,,,15.06,
,9.1,,,,,,,,,,,,,,,,,15.06,
,6.2,,,,,,,,,,,,,,,,,15.06,
,10.4,,,,,,,,,,,,,,,,,15.06,
,87.9,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
,,,,,,,,,,,,,,,,,,15.06,
