Scientific name,common name ,weight
labrus sp,wrasse,30.1
labrus sp,wrasse,25.2
labrus sp,wrasse,20.5
labrus sp,wrasse,18.7
labrus sp,wrasse,11.5
labrus sp,wrasse,13.5
labrus sp,wrasse,19.6
labrus sp,wrasse,23.9
labrus sp,wrasse,14.4
labrus sp,wrasse,21.8
labrus sp,wrasse,11.1
labrus sp,wrasse,14.1
labrus sp,wrasse,12.1
labrus sp,wrasse,21.4
labrus sp,wrasse,11.8
labrus sp,wrasse,9.4
labrus sp,wrasse,12.4
labrus sp,wrasse,8.9
labrus sp,wrasse,11.8
labrus sp,wrasse,19.1
labrus sp,wrasse,16
labrus sp,wrasse,13.5
labrus sp,wrasse,9
labrus sp,wrasse,9
labrus sp,wrasse,13.5
labrus sp,wrasse,22.7
labrus sp,wrasse,21.4
labrus sp,wrasse,8.8
labrus sp,wrasse,2.7
labrus sp,wrasse,5.6
labrus sp,wrasse,20.3
labrus sp,wrasse,24
labrus sp,wrasse,20.1
labrus sp,wrasse,21.7
labrus sp,wrasse,24.3
labrus sp,wrasse,30.8
labrus sp,wrasse,29.7
labrus sp,wrasse,35
labrus sp,wrasse,30.4
labrus sp,wrasse,31.2
labrus sp,wrasse,21.2
labrus sp,wrasse,25.8
labrus sp,wrasse,25.6
labrus sp,wrasse,24.2
labrus sp,wrasse,22
labrus sp,wrasse,16
labrus sp,wrasse,4.7
labrus sp,wrasse,13.3
labrus sp,wrasse,15.3
labrus sp,wrasse,14.4
labrus sp,wrasse,14
labrus sp,wrasse,11.7
labrus sp,wrasse,13.1
labrus sp,wrasse,13.6
labrus sp,wrasse,13.4
labrus sp,wrasse,14.6
labrus sp,wrasse,12
labrus sp,wrasse,6.4
labrus sp,wrasse,3.7
labrus sp,wrasse,30
labrus sp,wrasse,16.3
labrus sp,wrasse,19.4
labrus sp,wrasse,29.3
labrus sp,wrasse,30.7
labrus sp,wrasse,23.2
labrus sp,wrasse,5.6
labrus sp,wrasse,12.1
labrus sp,wrasse,7.5
labrus sp,wrasse,27.4
labrus sp,wrasse,12.2
labrus sp,wrasse,12.9
labrus sp,wrasse,5.9
labrus sp,wrasse,14.3
labrus sp,wrasse,31.5
labrus sp,wrasse,18.2
labrus sp,wrasse,15.2
labrus sp,wrasse,16.7
labrus sp,wrasse,12
labrus sp,wrasse,3.3
labrus sp,wrasse,16.1
labrus sp,wrasse,13.1
labrus sp,wrasse,16.6
labrus sp,wrasse,16.8
labrus sp,wrasse,13.9
labrus sp,wrasse,5.5
labrus sp,wrasse,16.3
labrus sp,wrasse,25.2
gobidae sp,goby,21.8
gobidae sp,goby,27.4
gobidae sp,goby,33.5
gobidae sp,goby,14.7
gobidae sp,goby,33.5
gobidae sp,goby,15.4
gobidae sp,goby,25.4
gobidae sp,goby,33.7
gobidae sp,goby,13.6
gobidae sp,goby,29.5
gobidae sp,goby,37
gobidae sp,goby,32.4
gobidae sp,goby,22
gobidae sp,goby,23.1
gobidae sp,goby,17.2
gobidae sp,goby,28.9
gobidae sp,goby,30.6
gobidae sp,goby,20.7
gobidae sp,goby,29.7
gobidae sp,goby,21.8
gobidae sp,goby,27.2
gobidae sp,goby,17.2
gobidae sp,goby,24
gobidae sp,goby,11.2
gobidae sp,goby,21.4
gobidae sp,goby,103
gobidae sp,goby,17.1
gobidae sp,goby,21.8
gobidae sp,goby,11.5
gobidae sp,goby,17.2
gobidae sp,goby,26.1
gobidae sp,goby,10.8
gobidae sp,goby,20.2
gobidae sp,goby,5.1
gobidae sp,goby,7.1
gobidae sp,goby,17.2
gobidae sp,goby,12.8
gobidae sp,goby,6.6
gobidae sp,goby,21
gobidae sp,goby,8.4
gobidae sp,goby,16.5
gobidae sp,goby,19.6
gobidae sp,goby,16.9
gobidae sp,goby,8.3
gobidae sp,goby,4
gobidae sp,goby,27
gobidae sp,goby,19.6
gobidae sp,goby,12.7
gobidae sp,goby,18.4
gobidae sp,goby,19.4
gobidae sp,goby,14.3
gobidae sp,goby,21.2
gobidae sp,goby,5.4
gobidae sp,goby,25.5
gobidae sp,goby,11.8
gobidae sp,goby,14.7
gobidae sp,goby,22.7
