Date,weight
14/05/1997,27.7
14/05/1997,32.7
14/05/1997,25.1
14/05/1997,29.4
14/05/1997,22.5
14/05/1997,37.2
14/05/1997,30.8
14/05/1997,29.4
14/05/1997,35.9
14/05/1997,34.3
14/05/1997,24
14/05/1997,29.4
14/05/1997,33.8
14/05/1997,31.4
14/05/1997,33.8
14/05/1997,33
14/05/1997,28.9
14/05/1997,34
14/05/1997,39
14/05/1997,32.1
14/05/1997,30.7
14/05/1997,29.5
14/05/1997,36.8
14/05/1997,27
14/05/1997,29.7
14/05/1997,37.7
14/05/1997,36
14/05/1997,29.3
14/05/1997,39.6
14/05/1997,37.8
14/05/1997,35.7
14/05/1997,26.4
14/05/1997,31.9
14/05/1997,29.6
14/05/1997,27.7
14/05/1997,35.5
14/05/1997,37.6
14/05/1997,26.7
14/05/1997,25.7
14/05/1997,43.8
14/05/1997,28.2
14/05/1997,36.6
14/05/1997,28
14/05/1997,37
14/05/1997,34
12/06/1997,42.6
12/06/1997,14.2
12/06/1997,37.3
12/06/1997,21.5
12/06/1997,18.9
12/06/1997,24.7
12/06/1997,38.2
12/06/1997,37.2
12/06/1997,40.8
12/06/1997,34.2
12/06/1997,32.1
12/06/1997,48.6
12/06/1997,26.6
12/06/1997,32.6
12/06/1997,38.7
12/06/1997,35.6
12/06/1997,28.3
12/06/1997,37.7
12/06/1997,37.5
12/06/1997,51.1
12/06/1997,36.5
12/06/1997,36.2
12/06/1997,43.5
12/06/1997,36.4
12/06/1997,34.2
12/06/1997,34.4
12/06/1997,33.4
12/06/1997,40.2
12/06/1997,30.7
12/06/1997,32.1
12/06/1997,36.3
12/06/1997,39.9
12/06/1997,37.2
12/06/1997,32.3
12/06/1997,25.4
12/06/1997,45.2
12/06/1997,38.5
12/06/1997,37.1
12/06/1997,41
12/06/1997,32.5
12/06/1997,57.4
12/06/1997,63.3
12/06/1997,46.2
12/06/1997,117.2
12/06/1997,54.2
12/06/1997,54.1
12/06/1997,42.7
12/06/1997,126.7
12/06/1997,118.2
12/06/1997,98.2
12/06/1997,110.3
12/06/1997,125.1
12/06/1997,103.6
12/06/1997,138.2
12/06/1997,42.3
12/06/1997,147.2
12/06/1997,53.2
12/06/1997,54.1
12/06/1997,141.7
12/06/1997,156.5
12/06/1997,47.3
12/06/1997,101.1
12/06/1997,123.3
12/06/1997,55
12/06/1997,123.1
12/06/1997,41.1
12/06/1997,27
12/06/1997,34.7
12/06/1997,30.4
12/06/1997,37.6
12/06/1997,40.4
12/06/1997,42.7
12/06/1997,35.2
12/06/1997,29
12/06/1997,31.7
12/06/1997,89
12/06/1997,28.9
12/06/1997,37.6
12/06/1997,42.6
12/06/1997,111.4
12/06/1997,34.2
12/06/1997,40.5
12/06/1997,124.5
12/06/1997,148.2
12/06/1997,93.8
12/06/1997,43.5
12/06/1997,43
12/06/1997,33
12/06/1997,38
12/06/1997,40.5
12/06/1997,35.4
12/06/1997,29.3
03/07/1997,36.9
03/07/1997,31.8
08/08/1997,34
08/08/1997,43.2
08/08/1997,48
08/08/1997,58.6
08/08/1997,50.1
08/08/1997,44.8
08/08/1997,58.1
08/08/1997,43.7
08/08/1997,39
08/08/1997,43.1
08/08/1997,129.3
08/08/1997,110.6
09/09/1997,6.3
09/09/1997,7.8
09/09/1997,7.4
09/09/1997,8.3
09/09/1997,7.8
09/09/1997,8.1
09/09/1997,34.8
09/09/1997,8
09/09/1997,6.7
09/09/1997,9.5
09/09/1997,9.9
09/09/1997,9.9
09/09/1997,10.8
09/09/1997,6.2
09/09/1997,9.8
09/09/1997,7.5
09/09/1997,9.3
09/09/1997,8.3
09/09/1997,8.2
09/09/1997,8.1
09/09/1997,10.2
09/09/1997,7.9
09/09/1997,7.8
09/09/1997,7.6
09/09/1997,6.4
09/09/1997,10
09/09/1997,8.9
09/09/1997,7.8
09/09/1997,6.7
09/09/1997,8.4
09/09/1997,5.8
09/09/1997,7.8
09/09/1997,6.5
09/09/1997,6.7
09/09/1997,3.9
09/09/1997,7.3
09/09/1997,9
09/09/1997,9.1
09/09/1997,6.2
09/09/1997,10.4
04/10/1997,87.9
